"id","from_id","owner_id","date","text","post_type","can_delete","can_pin","likes"
"40","2225313","1570296","1217881024","Дэвилз айлэээнд!","","0","0","1"
"39","2146774","1570296","1216394560","","","0","0","0"
"38","2225313","1570296","1216310811","поехали на пляж в выходные!!!!!!!","","0","0","0"
"37","6931166","1570296","1215339007","привеет)","","0","0","0"
"36","2420112","1570296","1214241773","","","0","0","1"
"35","4529069","1570296","1212782827","Приффет, скорпикам!) а вот и я! нука отмечусь, шо была тута!)                                           ..........БрЯк!=)............","","0","0","0"
"34","2225313","1570296","1212583967","","","0","0","0"
"33","2420112","1570296","1211995088","","","0","0","0"
"32","2146774","1570296","1211994805","Ты понимаешь, что живёшь в 21-ом веке когда...1. По ошибке, ты печатаешь свой пароль системного доступа на микроволновке2. У тебя список из 15 номеров, чтобы связаться со своей семьей, которая состоит из 3 человек3. Ты отправляешь e-mail своему коллеге, что сидит в соседней комнате4. Ты потерял контакт со своими друзьями или семьей, потому что у них нет адреса электронной почты5. После рабочего дня ты возвращаешься домой и отвечаешь по телефону так, словно ты еще на работе7. Ты впадаешь в состояние паники, если вышел из дома без мобильного телефона и ты возвращаешься за ним8. Ты просыпаешься утром и первая вещь, которую ты делаешь -подсоединяешься к Интернет, даже до того, как выпьешь кофе9. Ты склоняешь голову на бок, чтобы улыбнуться: - )10. Сейчас ты читаешь этот текст, ты с ним согласен и улыбаешься11. Еще хуже, ты уже знаешь, кому ты перешлешь это сообщение12. Ты слишком увлечен, чтобы заметить, что номер 6 в этом списке отсутствует13. Тебе понадобилась лишь секунда, чтобы пробежать еще раз по сообщению и убедиться, что номера 6 действительно нетА СЕЙЧАС ТЫ СМЕЕШЬСЯ. Давай, посылай это своим друзьям. Пусть они тоже улыбнутся! =)","","0","0","0"
"31","2146774","1570296","1211994611","ну наверно экзамен =) а где твоя картина =?","","0","0","0"
"30","2146774","1570296","1211993896",":*","","0","0","0"
"29","2225313","1570296","1211810630","Как концерт,товарищ????","","0","0","0"
"28","8635995","1570296","1211367862","ужоснах )","","0","0","0"
"27","7818480","1570296","1211009491","ава жесткая, дооо)))","","0","0","0"
"26","7818480","1570296","1211009447","Эльфф, не пропадай ^_^  пеши мессаги шрифтом десять)","","0","0","0"
"25","2146774","1570296","1210956833","","","0","0","0"
"24","2842114","1570296","1209738451","Парниш!! Убейся,а!! Ты в сортире чтоли себя снимал!???))))","","0","0","0"
"23","2225313","1570296","1208876102","Чё за тупизм на аве?","","0","0","0"
"22","11827746","1570296","1208807116","Надеюсь стать юристом:)","","0","0","0"
"21","11827746","1570296","1208806250","Дела нормально. А Ты её откуда знаешь?Как учёба?","","0","0","0"
"20","2509881","1570296","1208804994","еба....XD.... ХаХА))))))))))))))))))))))ну и аватар ))) XD","","0","0","0"
"19","2225313","1570296","1207940535","","","0","0","0"
"18","4737096","1570296","1206993578","Драсте епт)","","0","0","0"
"17","5755987","1570296","1206340288","аля группа kiss? )","","0","0","0"
"16","8635995","1570296","1206312449",";))) кросавчег;)","","0","0","0"
"15","4529069","1570296","1205706959"," (""\-'  '-/"" ).___..--''""`-.  `6_  6   )   `-.  (       ).`-.__.`)   (_Y_.) '  ._   )  `._  `. `-._..-'     `---'_.. -_/  /--'_.' ,'        (ll).-''   (((!.'  ((!.-'Ааррр.....=))","","0","0","0"
"14","2146774","1570296","1203019092","____ @@@ _________ @@@______ ____@______@______@______@___ ___@_________@__@_________@__ ___@___________@___________@__ ____@______С Днем__________ @__ _____@_Святого Валентина! __@___ ______ @_________________@_____ ________ @_____________@_______ ___________@________@_________ _____________@____@___________ ________________@_____________","","0","0","0"
"13","7614926","1570296","1202884242","Привет, Ярька :)","","0","0","0"
"12","1465903","1570296","1202854245","Глор!! ия )) я нашла тебя, какое счастье : )","","0","0","0"
"11","2205527","1570296","1191317746","","","0","0","0"
"10","2205527","1570296","1191304062","гутен таг,  брателло :)","","0","0","0"
"9","1969305","1570296","1191256079","Надо мне оставить здесь своё сообщение, чтобы ты меня не забыл... :))","","0","0","0"
"8","2154065","1570296","1191223648","Про армию-шутка:)","","0","0","0"
"7","14921","1570296","1191183111","О. Новая фотка. ))Не узнала б. )))","","0","0","0"
"6","2154065","1570296","1191156447","Какие кабели?(*_*).В мвд как....скучно до *опы!Вот как.В армию пойду:)))).А у тя как в политехе,много кого видишь?","","0","0","0"
"5","2154065","1570296","1191053750","Здарова ХоХоЛ!Как делища?","","0","0","0"
"4","654744","1570296","1191032175","Ярик! :) ","","0","0","0"
"3","1202400","1570296","1190721598","Эльфф, йоптвайумат! Не признал сразу. = ))","","0","0","0"
"2","2014957","1570296","1190655028","Студент блин :) Будут проблемы, обращайся :).","","0","0","0"
"1","56120","1570296","1190636413","Ярег=))","","0","0","0"
"id","from_id","owner_id","date","text","post_type","can_delete","can_pin","likes"
"6949","219263450","1570296","1512932905","Узнай, что думают о тебе друзья!О тебе есть новое мнение, смотри здесь:✨ ⭐ ⭐ ► ► vk.com/app662272_431 ◄ ◄ ⭐ ⭐ ✨!","","0","0","0"
"6948","1570296","1570296","1511794255","Саратов: встреча с Алексеем Навальным 1 декабря в 18:00","","0","0","4"
"6947","1570296","1570296","1510045590","","","0","0","3"
"6941","1570296","1570296","1509828088","Какбэ фоты со свадьбы готовы)","","0","0","43"
"6940","1570296","1570296","1508489482","","","0","0","6"
"6939","1570296","1570296","1507306571","","","0","0","1"
"6936","1570296","1570296","1505713425","","","0","0","0"
"6934","1570296","1570296","1505218946","","","0","0","6"
"6928","1570296","1570296","1504813492","","","0","0","28"
"6927","1570296","1570296","1504440508","#с2003вместе","","0","0","12"
"6924","1570296","1570296","1500386019","","","0","0","4"
"6919","1570296","1570296","1499627021","Обязательно надо побывать в Ярославе 😂😂","","0","0","6"
"6918","1570296","1570296","1499622093","","","0","0","2"
"6917","1570296","1570296","1498811454","","","0","0","1"
"6916","1570296","1570296","1498677727","","","0","0","6"
"6915","1570296","1570296","1498677646","","","0","0","0"
"6914","1570296","1570296","1498511694","","","0","0","2"
"6899","1570296","1570296","1497377876","","","0","0","2"
"6898","200173158","1570296","1497252685","","","0","0","1"
"6891","200173158","1570296","1497115470","Бомбещий новый альбом","","0","0","1"
"6890","200173158","1570296","1497107721","","","0","0","1"
"6889","1570296","1570296","1496602868","The Magnificent - The Magnificent ( Full Album )","","0","0","0"
"6886","1570296","1570296","1496252625","😆😆","","0","0","1"
"6883","1570296","1570296","1495971650","Сектанты от католической церкви повсюду. Два раза приходили домой и столько же раз всучали флайеры. Но я держусь 😂 @ Pasaż Grunwaldzki","","0","0","2"
"6882","5249677","1570296","1495779208","","","0","0","1"
"6881","1570296","1570296","1495484656","","","0","0","1"
"6879","1570296","1570296","1495190974","😂😂","","0","0","3"
"6878","200173158","1570296","1494777017","","","0","0","0"
"6867","200173158","1570296","1494773610","Не, бро. Ты не Рокко..","","0","0","2"
"6866","1570296","1570296","1494699646","","","0","0","4"
"6865","1570296","1570296","1494439316","","","0","0","0"
"6864","1570296","1570296","1494349803","","","0","0","6"
"6858","1570296","1570296","1494018545","Думаю, будет круто","","0","0","3"
"6857","1570296","1570296","1493649286","","","0","0","3"
"6856","1570296","1570296","1493582421","Только сейчас дошли руки до этого шикарного альбома. Крутой AORWhitesnake - Whitesnake (1987)","","0","0","2"
"6855","1570296","1570296","1493456786","😁","","0","0","7"
"6854","1570296","1570296","1493328228","Вот это да! очень крутой американский нео-прог. Evership - Evership(2016)","","0","0","2"
"6850","1570296","1570296","1493276838","","","0","0","2"
"6846","1570296","1570296","1492687742","Польские имена.Имена, которые чаще всего встречаются(мне):Мужские - Гжегож- Анджей- Мачей- Павел - Михал(но лидер тут, пожалуй, Гжегож)- ЛукашЖенские - Катажына- Каролина- Агнешка- Йоанна- Магдалена- Малгожата- АгатаОтдельно доставляют короткие формы имен. Например Бартек - сокращенная форма одновременно имен Бартломей, Бартош. Ащя - от Йоанны и Анны, а Крыща(!!!) - Крыстына, Бащя - Барбара, Кащя - Катажына.Также, интересно, что Таня - полякам слышится как tani(дешевая). Так что лучше представляться полным именем))Также весьма популярны различные Славы: Ярослав (Ярэк 👆😇), Славомир(Славэк), Станислав.П.с. поляки в свою очередь удивляются над Саша=Александр, Леша= Алексей(тут, по-моему, все ясно). А вот почему Ащя=Йоанна?!Так что, если кто-то думает, как назвать дочку оригинально - словарь польских имен тут может помочь😁😁","","0","0","7"
"6844","1570296","1570296","1492295723","","","0","0","2"
"6842","1570296","1570296","1492264581","Как и в Германии мусор сортируется по категориям Бумага, Стекло, Пластик и все остальное","","0","0","8"
"6841","1570296","1570296","1492249157","","","0","0","3"
"6840","1570296","1570296","1492114500","","","0","0","0"
"6839","1570296","1570296","1491862947","Самый лучший","","0","0","3"
"6838","1570296","1570296","1491063929","Сезон пикников объяляется открытым😀😊😊","","0","0","8"
"6835","1570296","1570296","1490944490","Вроцлав довольно долго принадлежал Германии (до 1945го). На старых зданиях немецкие надписи не стали убирать, хороший подход к сохранению истории.#вроцлав #польша #wroclaw #polska #dolnoşląskie  @ Wroclaw, Poland","","0","0","7"
"6834","1570296","1570296","1490889521","5 вечера, а в офисе почти никого. Поляки предпочитают работать с раннего утра, с 7-8, уходят соответственно в 15-16. Получается рабочий день 8 часов вместе с обедом... Так что езжу к 9 на работу, как король, в пустом трамвае 😀👍👌 #польша #вроцлав #polska #wroclaw #dolnoşląskie @ Wroclaw, Poland","","0","0","14"
"6833","1570296","1570296","1490691484","","","0","0","2"
"6825","1570296","1570296","1490476915","","","0","0","6"
"6821","1570296","1570296","1490453949","Навальный 😍😍","","0","0","1"
"6820","1570296","1570296","1490451648","Балтика 7 в магазине деликатесов 😁 @ Pasaż Grunwaldzki","","0","0","7"
"6791","1570296","1570296","1490135740","Стоимость и качество ­продуктов в Польше...­ Многие высоко ценят ­польскую продукцию за­ невысокую цену и хор­ошее качество, чем жители приграничных рай­онов Германии и пользуются😃 Особенно я бы­ отметил молочку и мясную продукцию. Для с­равнения чек из бедронки. Стоимость указана в злотых( 1зл ~ 15 рублей)1. Картофель 2кг = 4,06 зл.2. Кетчуп 460 мл = 2,79 зл3. Яблоки 1.5 кг = 2,494. Морковь 1кг = 0,995. Бананы 1 кг = 4,496. Джем вишн. 410г = 2,797. Болг. Перец 1 кг = 9.798. Свекла 1 кг = 1,499. Семечки 300гр = 2,3910. З.б. колгейт 100гр = 4.7911. Хлеб тост. 500 гр = 1.9912. Йогурт 400 гр = 1.1513. Конфеты шок. 1кг = 15.814. Форель охл. 1кг =19.915. Печенье 225гр. = 3.9916. Ветчина 200гр. = 5.4517. Яйца 10 шт = 3.7918. Шоколад 70%100г = 2.9919. Руккола 125гр = 4.49Не знаю текущих цен в Саре, но думаю примерно тоже самое выходит","","0","0","7"
"6790","200173158","1570296","1489944243","","","0","0","0"
"6789","200173158","1570296","1489818933","","","0","0","1"
"6786","1570296","1570296","1488667086","У нас +15, а у вас? 😊😊","","0","0","9"
"6785","1570296","1570296","1488557514","#dolnośląskie #sląnsk #wrocław @ Wroclaw, Poland","","0","0","5"
"6783","1570296","1570296","1488189272","","","0","0","0"
"6782","1570296","1570296","1488124891","С др, Иващ!","","0","0","4"
"6781","1570296","1570296","1488047064","Немного фоток стен и арок 😀","","0","0","8"
"6780","1570296","1570296","1487850428","Tłusty Czwartek, Толстый четверг - последний четверг перед постом, обычно все едят пончики, либо любую жирную еду. Вот и нам в офисе любезно подогнали немного. С утра можно увидеть большие очереди в Кондитерские, за пончиками, что немного удивляет. Так что, всем Толстого Четверга(к сожалению, 23 февраля тут не отмечается 😁😁😁)#подумалось #wroclaw #польша #polska #23февраля #tłustyczwartek  @ Plac Dominikanski","","0","0","10"
"6771","1570296","1570296","1487658842","Жееесть. 7:30, люди идут из церкви. Похоже на наших бабушек, только они, как, последователи комунизма,    ходят на почту 😁😁 #подумалось","","0","0","5"
"6766","1570296","1570296","1487516139","+7, и почти весна 😍😍. Прошли сегодня с Катей 9км ))","","0","0","16"
"6765","1570296","1570296","1487429575","#вроцлав","","0","0","9"
"6764","1570296","1570296","1487351822","","","0","0","0"
"6763","1570296","1570296","1487273478","Alexandra Lilah Denton - английская певица, автор, продюсер, известная под своим сценическим псевдонимом Shura.Родилась 17 июня 1991 года в Манчестере. Её мама — русская актриса, а папа — английский кинодокументалист. У неё два брата, один из которых её двойняшка. В 13 лет начала играть на гитаре, а в 16 лет начала записывать музыку.","","0","0","1"
"6762","1570296","1570296","1486314551","Очередной фотоотчет с прогулки 😈👿👹#вроцлав","","0","0","11"
"6759","1570296","1570296","1486306358","","","0","0","2"
"6758","1570296","1570296","1486219721","","","0","0","6"
"6757","200173158","1570296","1486204211","","","0","0","0"
"6753","1570296","1570296","1485984782","","","0","0","45"
"6752","1570296","1570296","1485188933","","","0","0","2"
"6750","1570296","1570296","1485005625","Небольшая экскурсия по Вроцлаву.","","0","0","6"
"6749","1570296","1570296","1484399189","Здорово прогуляться субботним утром. Рядом с домом отличные места, так что нужен велик 🚲🌲⛅","","0","0","8"
"6748","1570296","1570296","1484327401","","","0","0","3"
"6747","1570296","1570296","1483434198","","","0","0","12"
"6746","1570296","1570296","1482840869","#munich  @ Munich, Germany","","0","0","8"
"6743","1570296","1570296","1482473420","","","0","0","1"
"6738","1570296","1570296","1482019139","","","0","0","2"
"6737","200173158","1570296","1481997048","","","0","0","1"
"6735","1570296","1570296","1480964151","","","0","0","0"
"6732","6318700","1570296","1480867273","Фристайло","","0","0","0"
"6731","200173158","1570296","1480758872","","","0","0","1"
"6730","1570296","1570296","1480711333","","","0","0","1"
"6725","1570296","1570296","1479981433","","","0","0","0"
"6716","1570296","1570296","1479912175","Нанял стилиста","","0","0","19"
"6714","200173158","1570296","1479666226","","","0","0","1"
"6712","1570296","1570296","1479592757","#бестфромзевест #с2003года #братаны","","0","0","12"
"6708","1570296","1570296","1479496653","!!!","","0","0","0"
"6706","20651925","1570296","1479325577","","","0","0","1"
"6704","5249677","1570296","1479245776","","","0","0","1"
"6697","1570296","1570296","1478692541","","","0","0","6"
"6691","1570296","1570296","1475089088","люцифер","","0","0","2"
"6690","1570296","1570296","1474636182","","","0","0","0"
"6689","1570296","1570296","1474519434","","","0","0","1"
"6688","1570296","1570296","1474225434","","","0","0","0"
"6675","1570296","1570296","1473537318","#Уоттакуот","","0","0","23"
"6674","1570296","1570296","1473359026","","","0","0","0"
"6671","200173158","1570296","1472320182","Зацени-ка. Тебе должно понра","","0","0","0"
"6670","200173158","1570296","1471165654","","","0","0","1"
"6669","1570296","1570296","1470031058","","","0","0","0"
"6659","1570296","1570296","1469690146","","","0","0","3"
"6652","1570296","1570296","1468471049","","","0","0","0"
"6649","200173158","1570296","1467566683","","","0","0","1"
"6641","1570296","1570296","1465495088","","","0","0","1"
"6640","200173158","1570296","1464543905","","","0","0","0"
"6637","1570296","1570296","1462728917","Пенза-Тарханы","","0","0","11"
"6634","1570296","1570296","1462705805","#лермонтово @ Тарханы - Лермонтово","","0","0","6"
"6631","1570296","1570296","1462643232","#Пенза #икроножныйпафос  @ Коралл","","0","0","6"
"6623","1570296","1570296","1462099854","#белгород  @ Гриннbeer","","0","0","14"
"6621","1570296","1570296","1462095086","С праздником!","","0","0","2"
"6620","1570296","1570296","1461822470","","","0","0","3"
"6619","1570296","1570296","1461741710","","","0","0","0"
"6618","200173158","1570296","1461734531","","","0","0","0"
"6616","5249677","1570296","1461220927","","","0","0","2"
"6611","6318700","1570296","1459180612","","","0","0","1"
"6600","1570296","1570296","1458761606","","","0","0","10"
"6598","5249677","1570296","1458644644","","","0","0","1"
"6594","6318700","1570296","1457460198","","","0","0","0"
"6591","1570296","1570296","1457459645","","","0","0","0"
"6590","1570296","1570296","1457459580","","","0","0","0"
"6587","6318700","1570296","1457419964","с праздником!","","0","0","1"
"6585","1570296","1570296","1457338889","","","0","0","5"
"6583","200173158","1570296","1456771741","","","0","0","1"
"6578","1570296","1570296","1456587634","#черныйкофе #дьяволвоплоти #тытыты @ Новый Тюз","","0","0","9"
"6577","200173158","1570296","1456569040","","","0","0","1"
"6576","200173158","1570296","1456426424","","","0","0","0"
"6575","200173158","1570296","1456417920","","","0","0","0"
"6574","1570296","1570296","1456159224","#облагораживаемся  @ ТЮЗ  Киселева","","0","0","14"
"6551","1570296","1570296","1455911495","#ОЕтрибьют @ Harat's Irish Pub Saratov","","0","0","19"
"6549","6318700","1570296","1455631984","вот тебе атмосфера","","0","0","1"
"6538","1570296","1570296","1455255299","Очень атмосферно","","0","0","3"
"6535","1570296","1570296","1453287137","","","0","0","0"
"6532","200173158","1570296","1452967191","","","0","0","0"
"6531","1570296","1570296","1452932890","","","0","0","1"
"6530","1570296","1570296","1452784292","((((😥","","0","0","3"
"6527","1570296","1570296","1452430967","#Автодор #цска #готовьтепопку","","0","0","2"
"6526","1570296","1570296","1452413665","Когда утро начинается с блинчиков","","0","0","12"
"6521","1570296","1570296","1451825937","Сегодня хмурно и снежно((( #сухуми","","0","0","4"
"6520","1570296","1570296","1451735362","#сухуми прохладненько","","0","0","8"
"6516","19179747","1570296","1451561714","Happy, Happy New Year! We wish you all the best, Great work to reach your fondest goals,And when you’re done, sweet rest.We hope for your fulfillment,Contentment, peace and more,A brighter, better new year thanYou’ve ever had before.","","0","0","1"
"6515","1570296","1570296","1451466039","","","0","0","4"
"6513","1570296","1570296","1451367692","эхх, я думал еще лет 20 проживет😐😔😔","","0","0","0"
"6512","1570296","1570296","1451318428","Инфляция в России.Это все госдеп и Обама.","","0","0","2"
"6507","1570296","1570296","1451155652","","","0","0","1"
"6504","1570296","1570296","1450893985","","","0","0","33"
"6502","200173158","1570296","1450762444","Обосрался от охуенности.","","0","0","1"
"6499","200173158","1570296","1450633166","","","0","0","0"
"6497","200173158","1570296","1449763952","","","0","0","1"
"6492","200173158","1570296","1449553423","","","0","0","1"
"6488","1570296","1570296","1449400266","","","0","0","2"
"6487","1570296","1570296","1449064319","","","0","0","2"
"6486","1570296","1570296","1449045354","!!","","0","0","0"
"6485","1570296","1570296","1448999778","","","0","0","0"
"6484","200173158","1570296","1448138927","","","0","0","1"
"6482","1570296","1570296","1448004408","Это мой двор. Саратов замечательный город. Приезжайте все в саратов. У нас весело @ Где-то в Саратове","","0","0","11"
"6481","1570296","1570296","1447876471","Волшебно","","0","0","4"
"6479","17476555","1570296","1447661175","С Днем Рождения!!!! 🎁 🎂🎈😃 Успехов, удачи, здоровья!!!","","0","0","1"
"6477","5249677","1570296","1447647904","Happy birthday my love ❤️","","0","0","1"
"6476","1570296","1570296","1447487375","800 метров от отеля, где мы жили до театра батаклан всего месяц назад #bataclan","","0","0","1"
"6474","1570296","1570296","1446800015","шикарно.","","0","0","2"
"6472","5249677","1570296","1446709376","","","0","0","1"
"6471","1570296","1570296","1445421389","","","0","0","0"
"6468","1570296","1570296","1445016167","","","0","0","2"
"6467","1570296","1570296","1444468412","Дорогие друзья, скиньте свои номера в личку, тк я их просрал))","","0","0","0"
"6464","1570296","1570296","1443724789","Париж","","0","0","5"
"6461","1570296","1570296","1443641356","Дорогая, это предложение багета и сердца! Спасибо, что ответила согласием! #багетнопакетноеПредложение #ялюблютвоибулки #гдеприданное? #лямугртужугр","","0","0","18"
"6460","1570296","1570296","1443641087","Париж","","0","0","5"
"6457","1570296","1570296","1443560880","#BlackParis #Париж @ Bastille","","0","0","10"
"6454","1570296","1570296","1443475697","#вротердам #попенгаген","","0","0","11"
"6453","1570296","1570296","1443475455","Роттердам","","0","0","2"
"6452","1570296","1570296","1443378844","#Амстер","","0","0","4"
"6451","1570296","1570296","1443378579","#амстердам","","0","0","5"
"6450","1570296","1570296","1443378193","#amsterdam","","0","0","8"
"6449","1570296","1570296","1443295652","Амстердам","","0","0","5"
"6448","1570296","1570296","1443295376","Амстердам","","0","0","3"
"6447","1570296","1570296","1443295253","Amsterdam. Первое знакомство. Тут круто","","0","0","3"
"6446","200173158","1570296","1443292628","","","0","0","0"
"6445","1570296","1570296","1443268423","#Netherlands","","0","0","4"
"6442","1570296","1570296","1443212776","Сегодня был тяжелый день. Долго ехали+ постоянные пробки, пятница. Кельн и Дюссельдорф. Много турок)","","0","0","4"
"6436","1570296","1570296","1443123600","Дегустация )) @ Rad Ab Flensburg","","0","0","4"
"6434","1570296","1570296","1443116979","Фленсбург","","0","0","4"
"6433","1570296","1570296","1443116494","Фленсбург","","0","0","2"
"6432","1570296","1570296","1443116443","Фленсбург встречает прохладной погодой","","0","0","2"
"6429","1570296","1570296","1442928504","Жаль в бундестаг не получилось попасть. Зато покатались на лифте в Sony center))))","","0","0","4"
"6426","1570296","1570296","1442927960","Берлин, 2 день. Вчера весь вечер потратили, на то, чтобы добраться до хостел. Дурацкое метро ничего не понятно))) Выручают местные, очень дружелюбные. Много арабов. В целом, в Праге поинереснее","","0","0","3"
"6418","1570296","1570296","1442852261","запеченная утка, 3 пива,  бокал шардоне,  суп за 378 крон, збс","","0","0","3"
"6412","1570296","1570296","1442840849","Plzensky prazdroj. Горчит немного @ Restaurace U Mikuláše Dačického","","0","0","2"
"6411","1570296","1570296","1442840501","Прага, день 3","","0","0","3"
"6408","1570296","1570296","1442780970","Прага, день 2","","0","0","5"
"6406","1570296","1570296","1442780245","Прага, день 2.","","0","0","2"
"6405","1570296","1570296","1442753211","Хаха, еще 2 недели спама, прошу прощения))) @ U Benedikta","","0","0","8"
"6404","1570296","1570296","1441966963","","","0","0","2"
"6403","1570296","1570296","1441396817","Пост о том, как надо готовить пирог с луком и яйцами. Рецепт ниже @ Где-то в Саратове","","0","0","0"
"6402","200173158","1570296","1441299314","","","0","0","1"
"6397","1570296","1570296","1439754893","Дейл Карнеги. Как оказывать влияние на людей?","","0","0","5"
"6394","1570296","1570296","1439498364","😆","","0","0","1"
"6393","1570296","1570296","1439361101","Прощай, Пробизнесбанк!http://www.cbr.ru/press/pr.aspx?file=12082015_085127ik2015-08-12T08_46_23.htm","","0","0","0"
"6385","1570296","1570296","1439111951","#4сеанс #татуха #zanussi","","0","0","2"
"6384","200173158","1570296","1438941125","Заценик-ка!","","0","0","0"
"6383","1570296","1570296","1438844323","","","0","0","0"
"6372","1570296","1570296","1438509527","","","0","0","4"
"6366","1570296","1570296","1438245741","","","0","0","1"
"6365","1570296","1570296","1438195118","","","0","0","0"
"6364","1570296","1570296","1438165574","Проебал новый сингл от Amatory. Концовка в стиле дабстеп )))ЗБС","","0","0","0"
"6362","2420112","1570296","1437586306","","","0","0","1"
"6361","1570296","1570296","1437235568","","","0","0","4"
"6359","200173158","1570296","1435434325","Бродерик сраный задрот","","0","0","0"
"6357","200173158","1570296","1434546736","Вторая половина песни ахеренна!!!!!","","0","0","1"
"6355","5249677","1570296","1433759850","❤️","","0","0","2"
"6352","200173158","1570296","1433250043","","","0","0","1"
"6347","1570296","1570296","1432916810","#epam saratov office 11 years anniversary #GodblessEpam","","0","0","5"
"6344","5249677","1570296","1432808215","","","0","0","1"
"6338","1570296","1570296","1432188083","","","0","0","1"
"6337","1570296","1570296","1432113098","","","0","0","1"
"6336","1570296","1570296","1431637091","","","0","0","0"
"6335","1570296","1570296","1431492364","","","0","0","2"
"6331","200173158","1570296","1431115239","","","0","0","0"
"6330","1570296","1570296","1431091681","","","0","0","0"
"6329","1570296","1570296","1430949261","Душевно","","0","0","0"
"6328","1570296","1570296","1430940652","","","0","0","0"
"6319","1570296","1570296","1430802878","здорово путешествовать в классной компании... Белгород [id5249677|Kiddy Benny]","","0","0","3"
"6316","200173158","1570296","1430048509","","","0","0","1"
"6314","1570296","1570296","1429629023","Eric Singer","","0","0","0"
"6304","1570296","1570296","1429442924","#джамшут","","0","0","5"
"6303","1570296","1570296","1429425218","","","0","0","5"
"6302","1570296","1570296","1429349268","#ахуевайтунг","","0","0","0"
"6301","1570296","1570296","1429337910","","","0","0","3"
"6295","1570296","1570296","1429302032","Атмосферно. Ахуенно идти вечером с крутой музыкой","","0","0","1"
"6293","5249677","1570296","1429160586","","","0","0","1"
"6289","1570296","1570296","1429132186","необычный сингл от KISS, звучит модно))","","0","0","2"
"6286","1570296","1570296","1429038489","discovering chillout...","","0","0","1"
"6284","1570296","1570296","1428949749","","","0","0","1"
"6283","1570296","1570296","1428935708","Чилаут это збс","","0","0","2"
"6281","200173158","1570296","1428859028","","","0","0","0"
"6280","200173158","1570296","1428848953","","","0","0","1"
"6279","1570296","1570296","1428819993","","","0","0","1"
"6278","1570296","1570296","1428671250","Уоу","","0","0","1"
"6272","200173158","1570296","1428090192","Новый гитарист мегадес. Бразилец. Тогда бы уж лучше Кавалера бы взяли","","0","0","0"
"6270","1570296","1570296","1427996359","","","0","0","5"
"6265","1570296","1570296","1427832725","","","0","0","0"
"6264","1570296","1570296","1427400737","","","0","0","1"
"6260","5249677","1570296","1427400045","","","0","0","1"
"6253","1570296","1570296","1427263144","","","0","0","0"
"6249","5249677","1570296","1427138454","","","0","0","1"
"6247","1570296","1570296","1427101921","Сильно","","0","0","1"
"6245","1570296","1570296","1426944347","","","0","0","2"
"6234","5249677","1570296","1426740235","","","0","0","1"
"6233","1570296","1570296","1426566893","","","0","0","2"
"6232","1570296","1570296","1426456274","","","0","0","0"
"6231","1570296","1570296","1426221176","","","0","0","0"
"6229","5249677","1570296","1426015818","Аж мурашки по коже )","","0","0","1"
"6228","200173158","1570296","1425993055","","","0","0","1"
"6220","1570296","1570296","1425813800","10 лет ахуенному альбому","","0","0","3"
"6219","1570296","1570296","1425812994","","","0","0","4"
"6216","1570296","1570296","1425630687","","","0","0","0"
"6214","1570296","1570296","1425393722","ахаха бля","","0","0","0"
"6213","5249677","1570296","1425241376","","","0","0","1"
"6212","1570296","1570296","1425200908","ахаха","","0","0","2"
"6211","1570296","1570296","1425075230","Немцов... пиздец приехали","","0","0","1"
"6210","1570296","1570296","1425030859","","","0","0","4"
"6209","1570296","1570296","1425030833","","","0","0","0"
"6206","5249677","1570296","1424985976","","","0","0","1"
"6205","15576669","1570296","1424721944","😉 Вам открытка —->  ❤ http://vk.com/app557162 ❤","","0","0","1"
"6204","1570296","1570296","1424719947","Альбом 1972го года британской группы Wishbone Ash на тему рыцарства и войны.Открывающая Time Was от лица воина повествует о необходимости изменить свою жизнь, оставить свои воспоминания в стороне и начать жить заново.О том, как это нелегко сделать без близкого человека, который когда-то помогал ему.Sometime World - воин встречает такого же как он - воина, испытывающего те же проблемы:неудолетворенность жизнью, неодоцененность его действий. Песня пронизана грустью, ближек концу сменяющейся более бодрым ритмом, видимо, наши воины изрядно выпили и все стало не так уж плохо)Blowin Free - воин вспоминает про девушку, которую он знал когда-то - ее волосы развевались на ветру как кукурузные колосья и как трудно было ее догнать.The King Will Come - о короле, который должен вернуться и восстановить справедливость:грешники будут наказаны, правосудие восторжествует.Leaf and stream - наш воин размышляет о грустном прошлом и неизвестном будущем - сколько еще дивных мест и вещей предстоит ему познать. Он как лист, упавший вниз и подхваченный потоком воды - не в силах выбирать свой путь, приказ есть приказ.От грустных мыслей его отвлекает какой-то близкий человек.Warrior - довольно грустная песня в начале, перерастающая в гимн всех воинов.Воин отправляется в путь, оставляя все, что у него есть, позади. Он и так довольно долго нежился на солнце, настало время бороться за свою свободу, он должен быть воином,а это накладывает обязательства на него.Throw Down The Sword - битва закончилась, видимо, была одержана победа, но в войне нет выигравших, как и нет побежденных. Были времена, когда смерть была совсем рядом,но это неважно, надо отложить в сторону меч и вернуться домой, ведь прошлое нельзя изменить.Альбом примечателен использованием сдвоенных гитар, а также 2х и 3х голосными вокальными партиями,что характерно, для рока 70-х.Прекрасный пример гитарного прогрессива с блюзовой основой.Мои фавориты: Sometime World, Warrior, Throw Down The Sword","","0","0","2"
"6200","1570296","1570296","1424430336","как то так","","0","0","4"
"6190","1570296","1570296","1424072946","#антикафе и #горки","","0","0","2"
